sample	variable
10246.BI.D.B1	NorthAmerica
10246.BI.D.B2	NorthAmerica
10246.BI.D.B3	NorthAmerica
10246.BI.D.B4	NorthAmerica
10246.BI.D.B5	NorthAmerica
10246.BI.D.I1	NorthAmerica
10246.BI.D.I2	NorthAmerica
10246.BI.D.I3	NorthAmerica
10246.BI.D.I4	NorthAmerica
10246.BI.D.I5	NorthAmerica
10246.BI.M.B1	NorthAmerica
10246.BI.M.B2	NorthAmerica
10246.BI.M.B3	NorthAmerica
10246.BI.M.B4	NorthAmerica
10246.BI.M.B5	NorthAmerica
10246.BI.M.I1	NorthAmerica
10246.BI.M.I2	NorthAmerica
10246.BI.M.I3	NorthAmerica
10246.BI.M.I4	NorthAmerica
10246.BI.M.I5	NorthAmerica
10246.BI.N.B1	NorthAmerica
10246.BI.N.B2	NorthAmerica
10246.BI.N.B3	NorthAmerica
10246.BI.N.I1	NorthAmerica
10246.BI.N.I2	NorthAmerica
10246.BI.N.I3	NorthAmerica
10246.BI.T.B1	NorthAmerica
10246.BI.T.B2	NorthAmerica
10246.BI.T.B3	NorthAmerica
10246.BI.T.I1	NorthAmerica
10246.BI.T.I2	NorthAmerica
10246.BI.T.I3	NorthAmerica
10246.BO1.B10	Russia
10246.BO1.B6	Russia
10246.BO1.B7	Russia
10246.BO1.B8	Russia
10246.BO1.B9	Russia
10246.BO1.I10	Russia
10246.BO1.I6	Russia
10246.BO1.I7	Russia
10246.BO1.I8	Russia
10246.BO1.I9	Russia
10246.BO2.B1	Russia
10246.BO2.B2	Russia
10246.BO2.B3	Russia
10246.BO2.B4	Russia
10246.BO2.B5	Russia
10246.BO2.I1	Russia
10246.BO2.I2	Russia
10246.BO2.I3	Russia
10246.BO2.I4	Russia
10246.BO2.I5	Russia
10246.ER.B1	NorthAmerica
10246.ER.B10	NorthAmerica
10246.ER.B2	NorthAmerica
10246.ER.B4	NorthAmerica
10246.ER.B5	NorthAmerica
10246.ER.B6	NorthAmerica
10246.ER.B7	NorthAmerica
10246.ER.B8	NorthAmerica
10246.ER.B9	NorthAmerica
10246.ER.I1	NorthAmerica
10246.ER.I10	NorthAmerica
10246.ER.I2	NorthAmerica
10246.ER.I3	NorthAmerica
10246.ER.I4	NorthAmerica
10246.ER.I5	NorthAmerica
10246.ER.I6	NorthAmerica
10246.ER.I7	NorthAmerica
10246.ER.I8	NorthAmerica
10246.ER.I9	NorthAmerica
10246.ER.N.B1	NorthAmerica
10246.ER.N.B2	NorthAmerica
10246.ER.N.B3	NorthAmerica
10246.ER.N.I1	NorthAmerica
10246.ER.N.I2	NorthAmerica
10246.ER.N.I3	NorthAmerica
10246.ER.T.B1	NorthAmerica
10246.ER.T.B2	NorthAmerica
10246.ER.T.B3	NorthAmerica
10246.ER.T.I1	NorthAmerica
10246.ER.T.I2	NorthAmerica
10246.ER.T.I3	NorthAmerica
10246.FB.B1	NorthAmerica
10246.FB.B2	NorthAmerica
10246.FB.B3	NorthAmerica
10246.FB.B4	NorthAmerica
10246.FB.B5	NorthAmerica
10246.FB.I1	NorthAmerica
10246.FB.I2	NorthAmerica
10246.FB.I3	NorthAmerica
10246.FB.I4	NorthAmerica
10246.FB.I5	NorthAmerica
10246.HI.B1	NorthAmerica
10246.HI.B2	NorthAmerica
10246.HI.B3	NorthAmerica
10246.HI.B4	NorthAmerica
10246.HI.B5	NorthAmerica
10246.HI.I1	NorthAmerica
10246.HI.I2	NorthAmerica
10246.HI.I3	NorthAmerica
10246.HI.I4	NorthAmerica
10246.HI.I5	NorthAmerica
10246.HV.I5	NorthAmerica
10246.HV.B1	NorthAmerica
10246.HV.B2	NorthAmerica
10246.HV.B3	NorthAmerica
10246.HV.B4	NorthAmerica
10246.HV.B5	NorthAmerica
10246.HV.I1	NorthAmerica
10246.HV.I2	NorthAmerica
10246.HV.I3	NorthAmerica
10246.HV.I4	NorthAmerica
10246.K.B1	Russia
10246.K.B2	Russia
10246.K.B3	Russia
10246.K.B4	Russia
10246.K.B5	Russia
10246.K.I1	Russia
10246.K.I2	Russia
10246.K.I3	Russia
10246.K.I4	Russia
10246.K.I5	Russia
10246.KR1.B1	Russia
10246.KR1.B2	Russia
10246.KR1.B3	Russia
10246.KR1.B4	Russia
10246.KR1.B5	Russia
10246.KR1.I1	Russia
10246.KR1.I2	Russia
10246.KR1.I3	Russia
10246.KR1.I4	Russia
10246.KR1.I5	Russia
10246.KR2.B1	Russia
10246.KR2.B2	Russia
10246.KR2.B3	Russia
10246.KR2.B4	Russia
10246.KR2.B5	Russia
10246.KR2.I1	Russia
10246.KR2.I2	Russia
10246.KR2.I3	Russia
10246.KR2.I4	Russia
10246.KR2.I5	Russia
10246.KS.B1	Russia
10246.KS.B2	Russia
10246.KS.B3	Russia
10246.KS.B4	Russia
10246.KS.B5	Russia
10246.KS.I1	Russia
10246.KS.I2	Russia
10246.KS.I3	Russia
10246.KS.I4	Russia
10246.KS.I5	Russia
10246.L.B1	Russia
10246.L.B2	Russia
10246.L.B3	Russia
10246.L.B4	Russia
10246.L.B5	Russia
10246.L.I1	Russia
10246.L.I2	Russia
10246.L.I3	Russia
10246.L.I4	Russia
10246.L.I5	Russia
10246.PP.B1	NorthAmerica
10246.PP.B10	NorthAmerica
10246.PP.B11	NorthAmerica
10246.PP.B12	NorthAmerica
10246.PP.B13	NorthAmerica
10246.PP.B14	NorthAmerica
10246.PP.B15	NorthAmerica
10246.PP.B2	NorthAmerica
10246.PP.B3	NorthAmerica
10246.PP.B4	NorthAmerica
10246.PP.B5	NorthAmerica
10246.PP.B6	NorthAmerica
10246.PP.B7	NorthAmerica
10246.PP.B8	NorthAmerica
10246.PP.B9	NorthAmerica
10246.PP.I1	NorthAmerica
10246.PP.I10	NorthAmerica
10246.PP.I11	NorthAmerica
10246.PP.I12	NorthAmerica
10246.PP.I13	NorthAmerica
10246.PP.I14	NorthAmerica
10246.PP.I15	NorthAmerica
10246.PP.I2	NorthAmerica
10246.PP.I3	NorthAmerica
10246.PP.I4	NorthAmerica
10246.PP.I5	NorthAmerica
10246.PP.I6	NorthAmerica
10246.PP.I7	NorthAmerica
10246.PP.I8	NorthAmerica
10246.PP.I9	NorthAmerica
10246.PP.N.B1	NorthAmerica
10246.PP.N.B2	NorthAmerica
10246.PP.N.B3	NorthAmerica
10246.PP.N.B4	NorthAmerica
10246.PP.N.B5	NorthAmerica
10246.PP.N.I1	NorthAmerica
10246.PP.N.I2	NorthAmerica
10246.PP.N.I3	NorthAmerica
10246.PP.N.I4	NorthAmerica
10246.PP.N.I5	NorthAmerica
10246.PP.T.B1	NorthAmerica
10246.PP.T.B2	NorthAmerica
10246.PP.T.B3	NorthAmerica
10246.PP.T.B4	NorthAmerica
10246.PP.T.B5	NorthAmerica
10246.PP.T.I1	NorthAmerica
10246.PP.T.I2	NorthAmerica
10246.PP.T.I3	NorthAmerica
10246.PP.T.I4	NorthAmerica
10246.PP.T.I5	NorthAmerica
10246.VD.B1	Russia
10246.VD.B2	Russia
10246.VD.B3	Russia
10246.VD.B4	Russia
10246.VD.B5	Russia
10246.VD.I1	Russia
10246.VD.I2	Russia
10246.VD.I3	Russia
10246.VD.I4	Russia
10246.VD.I5	Russia